,d1,d2,r1,t1,d3,d4,d5,d6,d7,d8,d9
0,0.346456353,0.987020195,0.943413638,-0.851329823,0.638764367,0.172873092,0.090005315,-1.314622855,-1.400317612,-0.094636362,0.834509026
1,0.780558185,-0.188078559,-0.584375502,1.112836552,0.364822376,0.658939941,0.516960686,1.361034129,1.148910984,-0.270487087,-0.767073185
2,1.317766122,-1.206606841,1.051416011,0.695661496,0.770384224,0.248375901,-0.191516407,-1.054340485,-1.104117857,-1.732132355,0.562827752
3,1.24782141,0.905616519,0.865608697,-1.348873321,1.013752551,-0.069999475,-0.265930628,-0.240555308,-0.178300148,-1.056308845,-0.512234295
4,-1.487839762,-0.286275413,0.825302961,1.556673038,-1.16845143,-1.619039244,-1.317493025,-0.44332931,-0.267578797,0.234623742,-0.098630343
5,-0.812873094,-0.701418218,-0.087796365,-0.56601856,-0.846849523,-0.518914792,-0.967620871,1.018599486,1.096909895,-1.716563143,-0.671056187
6,0.734451813,-0.139868495,-1.748907899,1.204735984,1.254581703,0.824403391,1.193631272,-1.01659359,-0.712735408,1.540595622,0.110456036
7,0.542930607,0.229250305,0.704902104,-0.003463041,0.415215334,0.879467336,0.400048061,0.305249697,0.026516634,-1.309677405,0.685685803
8,1.198802075,0.509893696,-1.657486872,0.765588305,0.798036775,0.514889408,0.501726129,-0.782336039,-0.673158366,0.209773172,1.28758478
9,-1.215089449,-1.415893443,0.878608546,1.049710103,-0.577074722,-1.342097411,-1.474752305,-0.953776347,-0.944706713,-1.084603479,0.895691041
10,0.20894368,0.545637014,1.096785945,-0.287569446,0.64467709,0.257645597,0.626963185,-1.785994627,-1.534679865,1.499921344,1.540516397
11,-0.607852543,1.291464168,1.145171232,-0.232353662,-0.891289622,-1.165766704,-1.232476994,-1.072229459,-1.252807272,-0.377829444,1.594427541
12,-1.158048321,1.160725773,0.778748483,-0.012555701,-1.529314829,-1.66664184,-1.42061378,-0.567847763,-0.541167924,0.634061774,0.424922171
13,-0.980560664,0.319376985,1.00520112,-1.56054623,-1.18699396,-0.571874947,-0.997549354,-0.939024368,-0.695240184,-1.399916744,1.580148815
14,0.729642355,-0.391229149,0.805268095,-1.46284927,0.542792712,0.219639739,0.367071283,-0.19558037,-0.212516865,0.115737154,-0.412953644
15,-0.868942172,-1.258121387,0.512620564,0.208871229,-0.63702264,-0.460129188,-0.354131285,0.629180921,0.264700117,0.440860586,0.611481347
16,0.725549275,-0.903116491,-1.305678621,-0.547122004,0.619126052,-0.359829285,-0.412768182,-1.031244635,-1.10386539,-0.209083353,0.810407914
17,-0.644813827,-0.524131299,-0.385690678,1.661637703,-0.170876382,0.706417763,0.715572512,-0.621354882,-0.305296297,0.19799172,-0.038272357
18,0.839470495,-0.709814004,-2.152957071,-0.553361061,0.704433332,0.038378435,0.524852941,0.400180388,-0.011589594,1.489989571,-0.410157959
19,1.146232356,2.01707148,-1.280189092,-0.85464012,1.55805394,0.346628562,-0.171809609,0.576872494,0.967250764,-1.591243671,-2.08440298
20,-0.614724945,-0.873058452,0.836739978,1.603792292,-0.813219939,-0.970049386,-1.344636926,0.346645709,-0.095740919,-1.47509137,0.092165158
21,0.419143728,-0.217240999,-1.546102019,1.454888973,0.832480069,0.193123076,0.561446389,-1.052882195,-0.906085614,1.056321837,0.176898329
22,-1.330104779,0.063921542,0.993492903,-0.280334186,-0.754886365,0.203561151,0.079593137,0.353238718,0.212414341,-0.650232618,-1.212820764
23,0.178601468,0.935640489,-1.226910734,-0.671867867,0.008402958,0.615221286,0.105918034,-0.337927928,0.170248563,-1.461301612,1.139144153
24,-1.108638274,-0.801965515,0.998181804,0.785687822,-1.232225473,-0.252027914,-0.225131497,-1.3129505,-1.442886618,0.246841935,2.04479096
25,0.270143467,0.261738621,0.339149,1.300277247,0.631468244,1.412211283,1.480385922,1.027111249,0.908629724,0.314197444,-1.551063438
26,-1.244369133,-0.270152404,0.704094488,1.505614527,-0.884496793,-0.193014281,-0.605981796,-1.483548848,-1.364376532,-1.234144654,2.222248149
27,0.034392472,-0.614252399,-0.596681428,0.127854512,-0.310900652,-0.236557871,-0.29467221,-0.908199532,-1.301793784,-0.036347091,0.881205169
28,-0.049292755,-0.89216058,-0.551325386,1.703731958,-0.588557913,-0.487205384,-0.14175468,-0.093811147,0.424006613,1.143202349,-0.026798163
29,1.043100682,-1.945377456,-1.859019648,1.695817665,1.296109823,1.756933492,1.882553813,-0.588655343,-0.571089443,0.770608397,-0.492142352
30,-1.634923006,0.360963963,0.887576021,0.788078001,-1.717375365,-1.519381159,-1.586081836,-0.202999233,0.122443651,-0.354853421,0.069611278
31,-0.359117057,2.066256126,-0.068721714,-1.397101167,-0.388508501,0.146025791,0.465484358,-0.508687127,-0.486122866,1.027836788,0.143157816
32,-1.509413807,-0.217784185,0.699182671,1.203294642,-0.865820249,-0.313032378,-0.585802442,-0.2791107,-0.300402195,-0.829312681,1.041818792
33,-1.489118707,0.961432325,0.818154128,-1.015995462,-1.22967552,-1.934898123,-1.627565749,1.278116693,1.748091183,0.809705817,-1.558750832
34,-1.066802055,-0.123134743,1.039603235,1.41178867,-1.221686154,-1.426583855,-1.625148896,0.715764954,1.368426538,-0.730512756,0.27687171
35,1.111904887,-1.077130243,-0.080842962,-0.027212983,0.567142873,0.721172,0.473631288,-1.242565054,-1.174190847,-0.777045225,0.923092821
36,1.403673871,-0.470545223,0.716691949,1.599561943,1.418734334,0.499693854,0.363726794,0.265306185,0.507216717,-0.207002678,0.63677449
37,0.954979547,-0.163488818,0.056868343,1.411688876,0.600548755,0.235320441,0.449828009,-1.241129958,-1.28779359,0.869932159,0.647535853
38,1.655700031,0.003075811,0.407185645,1.662348572,1.484402582,0.434312663,0.755349103,0.539924036,0.66580055,1.293994086,-0.439916836
39,-1.390891535,-0.197611839,0.644216587,-0.339539164,-1.658361296,-0.812743445,-1.076145548,0.341283276,-0.115510255,-0.873325274,1.063194657
40,-0.265821116,0.565906586,0.523190576,-1.059997286,0.250375816,1.137405215,0.591455346,0.900419948,1.370688889,-1.512288059,-0.137723202
41,-0.458205562,-0.003865575,-0.598100905,0.726146688,-0.425718231,-1.053174813,-1.360979656,-1.39814571,-1.262676887,-1.64638115,1.11795745
42,1.321780004,0.023722159,-1.137231208,-0.152126635,1.807936482,1.73159725,1.622830617,-1.499919481,-1.273414342,-0.038283784,0.35136539
43,0.270484246,1.485894,-1.448807331,-1.159142388,0.555852071,1.016906399,0.816396759,-1.197304127,-1.380777107,-0.915096676,0.34122348
44,1.567710744,-1.306469132,-2.597971865,0.155448029,1.761298632,0.831692977,1.126626073,0.747201119,0.484927186,1.237936522,-0.638627743
45,-0.10091925,-1.908087085,-0.721369817,1.626375921,-0.249782864,-1.12057153,-1.413490288,1.322711519,1.288115899,-1.193520436,-1.731860339
46,1.101865935,0.467539557,-0.477929761,-1.609560845,1.507487539,0.496646188,0.449855334,-1.540515037,-1.678864534,-0.074790256,0.810329285
47,0.414638101,1.056200434,-1.059259574,-0.052402536,0.913688768,1.188757987,1.318508765,-0.307939966,-0.662854733,0.784705826,0.761429631
48,1.488367452,-0.301746365,0.31121861,-1.066327368,1.404837226,1.283714245,0.922525758,0.120753553,0.408528578,-1.435517482,-1.178024599
49,0.645264829,-1.103867278,-0.762563112,0.895787813,0.202961478,-0.435842159,-0.612517392,1.951965558,1.60423642,-0.468162149,0.343861925
50,-0.00445421,1.242300935,-0.594900167,-1.243179699,-0.43425417,0.162537376,0.122542187,1.751054402,1.399502907,0.031406347,-1.321208177
51,-0.470983123,0.379656918,0.053156404,-0.005382524,-0.060642249,-0.272194043,-0.629976799,-0.614390398,-0.574885565,-1.067156168,1.66308357
52,-0.10812745,0.170085539,0.555028906,-0.955709131,0.078645737,-0.674580225,-1.141564363,2.160249324,1.784327573,-1.519492347,-0.40149763
53,-0.651889543,-1.271145979,0.165925132,0.143158731,-0.502772348,0.141333842,0.288999042,0.743739056,1.207988001,0.722662257,-0.040183226
54,1.207009546,0.331467354,0.831286212,-0.050443973,1.141308012,0.959060773,1.366703833,-1.51191802,-1.305903248,1.718055535,0.776775537
55,1.36501807,-0.579308102,-0.798390005,-1.011656142,1.633963348,0.945904512,0.90702947,0.782716816,0.404702846,0.071617562,-0.140235413
56,-1.620427642,-0.672856297,0.774241378,-1.061170105,-1.357927437,-1.088267684,-1.527362273,-0.508185961,-0.925848133,-1.520855805,1.48700294
57,0.819980244,1.171034944,-0.531744224,-0.191085311,1.283527897,0.904363615,0.856750626,-0.685316849,-1.109252471,0.107568594,1.17682935
58,-0.992596302,-1.926180722,0.862563439,1.672931884,-1.336111399,-0.797962388,-0.751443062,0.710130631,1.11562648,0.075301996,-0.218067343
59,-0.642771655,0.606542149,0.955252962,0.677755773,-0.369146153,0.088463681,0.24138323,1.187930444,0.791011542,0.462164482,-1.742360606
60,-1.490097007,-1.254178731,0.62094556,1.570978974,-1.575729111,-1.01184262,-1.206771649,1.02453764,1.029672289,-0.679818861,-0.666635875
61,0.87998365,-0.424185244,1.08886424,-1.189405103,0.940540017,1.185190342,1.356323236,0.624826561,0.505368776,0.595264216,-0.992535565
62,-1.296937475,0.004375905,1.197118619,-1.431734382,-1.170957731,-1.643529451,-1.390198333,-0.439699454,-0.115893902,0.586762102,-0.114734553
63,0.672624253,0.252024011,-1.22810588,-0.163948514,0.73953262,0.919620123,0.583690229,0.069900601,-0.15577102,-1.344557426,-0.512829823
64,1.272688718,-0.623976331,-1.798560485,0.534830863,1.781082308,1.513991294,1.325899398,-1.259919044,-1.618937304,-0.31003148,1.264417059
65,-1.318343084,0.920937085,0.953558031,-0.090980673,-1.018669277,-0.205744851,0.30195489,-0.777691601,-1.080087456,1.899166621,1.376740023
66,-0.981182687,-0.972778693,0.236965902,-0.194270662,-0.83990128,-1.316150195,-1.444050393,-0.686081228,-1.104463262,-0.657452153,1.612781325
67,0.589636103,1.178232847,-1.520626029,-0.542016127,0.75376027,-0.335544046,0.025135114,-1.061885057,-1.15637383,1.137213834,0.411870867
68,1.311715197,0.170127049,-2.497332187,-1.157735142,1.001844346,-0.142640812,-0.444922498,0.606396312,0.459721041,-1.383741083,-0.717196766
69,1.251166823,-1.076091689,1.05088934,0.790365102,1.299458501,1.053978526,0.852321525,0.208905086,-0.13260025,-0.366202763,0.513761061
70,0.151946381,-0.139961409,0.265351693,-0.846465763,0.716119289,0.061254121,-0.353878294,-0.823465732,-0.725840766,-1.87346286,-0.033040451
71,0.035842661,-0.898760437,-1.049300932,-1.025554399,-0.512724229,-0.716578935,-0.233305535,0.233852323,0.694639795,1.447495579,-1.532365924
72,0.559617011,0.189848533,-0.557383876,1.303893822,0.443412242,-0.24577017,0.174296514,0.006127298,-0.186879945,1.291972446,-0.649052694
73,1.602885787,-0.426701964,-0.543411647,0.432670544,1.790738837,2.234954275,1.730412,0.71034451,0.538134662,-1.21626791,0.304822484
74,-0.847359691,0.285846198,-0.005341332,-0.522368512,-0.414306867,-0.39899127,-0.501761607,-0.81173344,-0.644304017,-0.338698961,0.891329582
75,1.291634338,1.42229937,-2.225001159,-0.592274372,0.964414461,1.484954436,1.375486966,1.537604632,1.105480056,0.019594373,-0.535641201
76,-1.210907617,-0.158062659,0.841499156,-0.48797388,-0.728696885,-1.479319955,-1.132217711,0.227511885,0.66016935,1.140729489,0.655973266
77,0.508787505,-0.415473678,-0.595428523,0.110884061,0.744392727,1.005783834,0.539073289,0.788791523,1.053271646,-1.271418957,-2.227568321
78,-0.269600967,-1.233009993,-0.75479009,1.680741183,-0.478243926,0.46675005,0.102184306,-0.699111493,-0.450794742,-1.055913046,1.032506423
79,0.804945226,-1.618101649,-1.656993532,1.028290123,0.787269225,0.318883615,0.141207774,-0.767063659,-0.677535302,-0.907858687,0.138254857
80,-0.515149705,-1.612651221,-0.256669355,1.468263005,-0.442628694,0.130392355,0.453077346,-1.107019929,-0.97100173,0.832155008,0.349827325
81,-1.669948178,-0.101846544,0.936183463,-0.228821612,-1.804539,-1.223002047,-0.740849566,0.631551806,0.709343988,1.506467574,-0.049335982
82,-1.193991618,-0.550867331,0.408852097,0.512827158,-1.120093894,-0.058013612,0.255956981,-1.448625572,-1.141402202,0.563736425,0.289147966
83,-0.789624368,-0.481730656,0.38184155,0.574661967,-1.064064441,-0.02326024,0.139628235,0.308205003,0.917944818,0.75400251,-2.118666512
84,0.908835324,-0.332697444,-0.23771911,0.544852873,1.083506994,1.272488751,1.062042645,-0.268490461,0.042686332,-0.926502525,-1.215398912
85,-0.2989441,-1.123155667,-0.114675248,-0.369240914,-0.387680312,-0.316542808,-0.079917234,1.25797822,1.09057613,0.476475116,-1.608168943
86,-1.237142172,0.084013729,0.714873428,0.96975098,-0.612425209,0.206364943,0.624584178,0.144699063,0.261247618,1.05242917,-1.249333527
87,-1.574980025,-0.160319318,1.075738423,0.119010071,-2.002256307,-0.865150027,-0.76526371,-1.276922788,-1.414300053,0.184486757,1.511250334
88,1.42487215,1.693116864,-0.11437447,-0.609903109,1.665171355,0.414939739,0.043897352,0.943689918,0.53900111,-1.250037092,-1.196500729
89,1.47115035,-0.383920437,-1.96373324,-0.505872575,0.846216909,1.577717775,1.143699603,0.777790797,0.991089243,-1.107636779,-0.209731587
90,0.638465201,1.219396966,0.075492567,-0.061501916,0.097866332,0.816800509,1.145311254,-0.885844775,-0.466924153,1.408600652,0.667963903
91,0.583091553,-1.007934086,0.62276684,1.074341625,0.735537236,0.445179454,0.319961145,-1.791705739,-1.604359946,-0.220520169,1.745228328
92,-1.385092727,2.045885706,0.63335939,-1.579449114,-1.808102884,-1.885464089,-1.800296062,2.1766381,2.155629913,-0.214403816,-1.990071314
93,0.529683994,0.654296314,-1.129335385,0.459857395,0.579697296,1.104582767,0.960611587,-0.206222774,-0.632921395,-0.139831017,0.908774608
94,1.647219241,1.168075708,-1.649970165,-1.293048169,1.45834971,1.895993313,2.204839953,-1.875824117,-2.013416834,0.815884089,0.42216031
95,-1.14743614,0.037607422,0.819996898,1.107295204,-1.097061016,-1.720208315,-1.842870504,-1.342418041,-1.231934033,-0.517271398,2.269876997
