,id,iq,N,d1,d2,r3,t3,d5,d9,d12,d13,d14,d18,d23,hysteresis,joule
mean,-103.894678,102.888723,7526.503938,6.101588599,0.925865065,78.28445191,14.07045871,9.529874478,20.95497847,24.58093798,7.613058197,9.230114417,3.481068896,6.269707441,175.369653,188.5573715
std,62.815378,63.098178,4294.966855,1.767483048,0.240521851,0.735658555,1.629246092,1.883032748,2.296806706,2.394470149,1.399565731,1.624818849,0.702781,2.518227374,121.7591254,170.4695976
