,N
0,-0.9979177100607867
1,1.4100112823251956
2,0.690065279354957
3,1.0006361463944824
4,-1.7051073624578374
5,0.32386464447841085
6,-0.6719378218954992
7,0.614443724874898
8,-0.6765922643337867
9,-0.09881643674410065
10,-0.10148137838089558
11,1.4601212499398877
12,-0.5045875294951292
13,1.2615544160543866
14,-0.19434918306595633
15,-1.367630340375239
16,0.1725342903746933
17,1.3616205363598526
18,-1.2880800533646466
19,-1.4089776273285017
20,-0.5052357563835138
21,1.1796371412779514
22,1.5073930349999487
23,0.5902431772306397
24,-1.081232848709744
25,1.331632202490366
26,-0.6550952665404507
27,-1.194713535401366
28,1.3979014659381561
29,-0.3554166339654969
30,-0.2998902746098482
31,1.640639050475239
32,0.28786902234052014
33,-1.547712856201021
34,-0.5250956891568608
35,0.31899051838902664
36,-1.623445837547964
37,0.9875181918433109
38,-0.9331343970791505
39,0.8077889445411978
40,-0.3719464481410646
41,-1.2937470062941716
42,-1.1066824029660116
43,-0.5996968124792017
44,1.4389141782489172
45,-0.9503395680381499
46,-0.25813965020170726
47,1.0730149820199246
48,-1.314206556034789
49,0.66743462042648
50,0.8410775064401913
51,0.5343704484965315
52,-0.8226233295792943
53,-0.20209674017756551
54,-0.01854174647146055
55,-0.06907756766356889
56,-1.5274989361091684
57,1.4606430723603558
58,0.8231128136710627
59,-0.10545408750225874
60,-0.6389813172738298
61,-0.5309640648282249
62,-0.08864838644791867
63,-0.5871160327370569
64,-0.9504365217549254
65,-0.3997945945979905
66,-0.13240821588411783
67,-0.07252266735822126
68,-1.3893736501974603
69,-0.5702473975532723
70,0.10882550419524796
71,-1.5540733864038316
72,1.6154840274791107
73,-0.5438643178157725
74,0.6271040600621839
75,0.0479189715387979
76,-0.6884059676091315
77,0.9793073345323586
78,-1.2696098009315182
79,-0.6406539713926801
80,0.8581019684376925
81,-1.5534919284125523
82,-0.8414315734449709
83,-0.8901005993226877
84,0.3184192310932331
85,-1.0032142019241872
86,-0.5396516804167677
87,0.10436557059212585
88,0.80883326459107
89,1.1935346920665793
90,1.2183825275931401
91,-0.12019250508266807
92,-1.332143470941123
93,-0.011484299458533551
94,0.8791532601139109
95,1.1094254841930387
96,1.7268471406695907
97,1.5305932047262254
