,N
0,-0.9733336408006321
1,1.6712602436674644
2,0.19960568110470336
3,1.7097707665186626
4,0.6195993800982023
5,0.819227904327944
6,0.46129988786839676
7,0.6819583709563475
8,-1.552317253413919
9,-0.4813421064357364
10,-0.9812685146954776
11,1.4773976932481723
12,0.18710749266478938
13,-0.015088124303579547
14,-1.427741472457365
15,0.8045233049636328
16,0.4314222947700589
17,0.6752765803943342
18,0.9380906509735818
19,-1.6528137847405824
20,0.3144786794032615
21,-0.5517259994153674
22,0.2177100817819466
23,-1.4937251815147623
24,-0.05094835419423878
25,-0.8595461063475387
26,1.3144024845195166
27,-0.6720353537166948
28,0.6654272406878519
29,1.0168853947275402
30,0.9983937732372987
31,1.55436648924818
32,1.154521373922241
33,0.07802770136387752
34,-1.6897766931550942
35,-0.326023052538942
36,-0.39692733609311626
37,-0.7314509167409905
38,-1.1343771073403848
39,0.8272734271564528
40,0.7889185013683782
41,0.08173485853729243
42,-0.08743588096082272
43,0.17374834136969255
44,1.0385772093460972
45,0.2323968458286262
46,-1.0122767151062906
47,1.247699082760789
48,-1.5411298523131296
49,-1.4695708532658927
50,-0.2731149901539223
51,1.0551072197746167
52,-1.554343911143347
53,0.6297455900444515
54,-1.0242382504849545
55,1.6924026606856637
56,1.4282219399120246
57,0.6137388090283803
58,-0.5174783599060304
59,1.5450228356985343
60,0.9059694445335883
61,0.28515641275875325
62,0.40288239226183054
63,1.0120905876575947
64,0.033767051784988455
65,1.2819111526209024
66,-1.3435173037137271
67,-0.6644668573288603
68,1.5467191313404278
69,-1.343171619040066
70,1.6046507189292807
71,-1.4082160156757573
72,-1.472185498208921
73,0.10394566520625996
74,-0.11061997830662282
75,-1.4853269903643573
76,-0.1790967029667073
77,-1.1202297962939605
78,-1.0721271155835201
79,0.9778754344047613
80,-0.6157613627829923
81,-0.60839059031302
82,0.07114538344075208
83,1.087300780448886
84,1.048304135168193
85,1.648251395235534
86,-0.920251281771091
87,0.9484598821017409
88,1.1922099020190984
89,-0.5093808951076225
90,-1.2087742569318516
91,-0.19154910194878355
92,1.1663483743983298
93,0.09301778384471311
94,-0.7581289011621615
95,-0.1604329032498384
96,-1.7060605381228289
97,-1.585118138937756
98,-0.1620271796793683
99,-0.422576171458875
100,-0.5096023472115085
101,-0.6796536482736615
102,-0.8169018780903121
103,0.8182948364478321
104,-1.160690270848606
105,-1.4280662945069809
106,-1.0900174114972765
107,1.7406526315944442
108,-1.495448125209979
109,-0.4818750200619632
110,-1.3542232076318497
111,-0.8348241171516101
112,0.48694309848256073
113,0.3635617632795982
114,-1.7042758995610519
115,-1.6055298445607293
116,0.24701723687393284
117,-1.3878505800039962
118,-0.9885598927582601
119,-1.1955820541586648
120,-1.0159245808760633
121,0.6108713513502954
122,-0.48233110433019116
123,-1.3814125072612715
124,-1.1137454693627062
125,1.3146934742468726
126,-1.1630922162665895
127,-0.9723333898120649
128,-1.4647955503466654
129,1.025927690621031
130,0.8477991360738192
131,-0.11616179682876712
132,0.5757712836267892
133,1.0304270864058607
134,0.5337837659086937
135,0.8600456905654837
136,0.8921981129080716
137,1.2772622972591585
138,-1.004589844969869
139,-0.7993683240914119
140,-1.255157171535584
141,0.10640327779250679
142,0.3224300530633549
143,-0.19204866493807465
144,-0.8673309301514337
145,0.48990252903545234
146,0.6662111437669824
147,-0.2307111072300384
148,-1.0650293566109754
149,1.4028880069836682
150,-0.19889411007019864
151,0.13924795333092552
152,1.3099065706009647
153,-0.9642380984055753
154,0.049557795737015096
155,0.4298005476883733
156,0.9123211882365954
157,-1.5329994538921783
158,0.26077339888959616
159,0.5052330411666318
160,-1.0144307017540037
161,0.6608973366149179
162,0.6442326935288224
163,-1.2451168670340926
164,1.357968439263059
165,-1.0894229978690808
166,0.3211816772228346
167,0.6779244647159194
168,0.196682497245419
169,-0.48686066977302356
170,1.5480457421037521
171,0.7579535328032164
172,1.0257799146978626
173,-0.1177673391079557
174,-0.39202025711470306
175,-1.3425475925214967
176,-1.3961061411529077
177,0.004147319937672657
178,-0.2647066310806787
179,0.18212835994077062
180,-1.4421493414016897
181,-1.1825453264963188
182,1.1252364990487052
183,-0.4921735024408348
184,-1.0423214030108356
185,-1.1243263817770162
186,-1.0496755789361978
