,id,iq,N,d1,d2,r1,t1,d3,hysteresis,joule
mean,-103.4063993,103.3105624,7525.365473,12.36349702,1.401417979,76.68456391,10.0829078,16.99507746,180.7106848,195.9999851
std,63.36416241,63.14882387,4289.329685,5.427014618,0.374286548,2.165015269,2.597112744,5.508037075,122.9534387,174.4477399
