,id,iq,N,d1,d2,d3,d4,d5,d6,d7,d8,hysteresis,joule
mean,-103.7207747,103.6453719,7563.652269,3.249006263,4.749834644,12.92015412,2.993706293,19.19639937,5.860741836,2.362867968,24.25074379,157.2164376,168.5688878
std,63.11162812,63.08488374,4301.90849,0.719625384,0.720755581,2.374132779,0.576702384,0.577611002,2.573788088,0.437273415,2.071377455,110.4578947,150.8074731
