,N
0,-0.5027585056881673
1,-0.9137827159889248
2,-0.9514498540554567
3,1.0909093066542899
4,0.6252889557345375
5,1.5100288899411884
6,-0.2943224404127552
7,-0.7324561577986215
8,-0.9436763103570561
9,-0.9899857504868054
10,1.2165072143002007
11,-0.06389688041861226
12,-0.7588482842672566
13,-0.7431115783999774
14,-0.3553203933893242
15,0.4599680314304125
16,0.1817227185043373
17,1.6138132743852092
18,0.33988068468853444
19,1.5215114357137918
20,-1.3718644961653532
21,0.9841786306801388
22,-0.7917882290860013
23,-0.41377914881158984
24,0.16303108240966074
25,-0.5689951110925611
26,-1.3769145724623044
27,0.28417806415670527
28,0.4303320085870809
29,-1.0383256688969167
30,-0.7995938460276223
31,-0.9121116802152829
32,-0.5303180202960155
33,-1.0934217472728245
34,0.23052221102139725
35,-0.17077190131998837
36,0.8813686942235374
37,-1.4928968672486391
38,-1.2657131975391316
39,0.8987049004350922
40,-1.3240488891564646
41,1.5896338465709183
42,1.1179230154449595
43,0.008098405776271392
44,-1.4879970501306403
45,-1.0911018883666088
46,-0.1302034123166431
47,0.3015526635459099
48,1.0511251683528473
49,-0.4845224022161596
50,-0.32728021061835316
51,0.39251422043339435
52,-0.939698470773195
53,0.76530323220975
54,-1.2695682957658037
55,-1.3688750519735704
56,0.5731971951738539
57,0.3978837350711881
58,-0.01727815547755877
59,-0.45452320570345656
60,-1.3195386843560868
61,-0.31830345085955514
62,-0.6021270945850501
63,1.6556483962559485
64,1.3896691819163354
65,1.3895572289662774
66,-1.0742451268130677
67,-1.2335786160678248
68,-0.5641863514671714
69,1.1020318282674848
70,-1.384133156801041
71,-0.4558999008590249
72,-0.6844794440472214
73,-1.4149378972856772
74,0.7739137405677292
75,-1.0070356968985053
76,-0.9997655083083214
77,-1.7144653423753031
78,1.0810507396413562
79,-0.27827433642732236
80,-0.05920339334541054
81,1.2669589748910808
82,-0.05090665838393274
83,-1.2176114220004997
84,-0.36482426642046445
85,0.04277096411437623
86,0.9975938737267354
87,1.406231605361321
88,0.7942775630518614
89,0.36249916005283034
90,1.0684641566846846
91,0.1774807567246408
92,0.9333551224888381
93,-0.4537266882948878
94,-1.3634362658936339
95,0.8143579747202342
96,1.6503316670017583
97,-1.420491791720243
98,-1.0320422782927836
99,0.37341700625584395
100,0.5888562209948544
101,-0.06808461719272223
102,1.5402745760608851
103,0.39732750027393227
104,1.3773904050752734
105,-0.8714097371331724
106,-1.1435099637884436
107,0.09423617981698611
108,-0.39221831604754404
109,0.2123366978502145
110,0.8199839367683032
111,-0.9177864167322917
112,1.4160535789029054
113,-1.2095712167363826
114,1.0594833473436753
115,-0.2631931791843353
116,-0.0015227239665204792
117,0.03426680233640594
118,1.2005354504719936
119,1.3181858043024346
120,0.2988590407454235
121,-1.2119960342003842
122,1.6821687467706878
123,-0.5636552000896492
124,0.4901335408211668
125,-1.0591827370508253
126,1.3882455251433226
127,1.0438526747371206
128,1.19689576253199
129,0.6906983875797514
130,0.1586021789547906
131,1.5346507518724406
132,0.29475669378161384
133,-0.01703972843512825
134,1.1886004895232585
135,0.9097228014704064
136,-1.300510426198074
137,-0.33197806549161357
138,0.4111152635964407
139,-1.6388232773529452
140,-0.010357346027181132
141,-0.9088854005818204
142,-0.5725689495240526
143,0.9042492129328211
144,-0.7934561194462861
145,-1.0270451201018025
146,0.44519074888865146
147,0.830743787922784
148,-1.410804279354031
149,0.950833864579863
150,1.643063434354879
151,0.554504135420792
152,-1.0376490748331582
153,0.47252948220390484
154,1.617293171450307
155,0.40748090569847184
156,1.1984218227029217
157,0.5271200262360968
158,-0.6808504396018796
159,-0.994914513370335
160,1.4601359529807019
161,-0.36805591010857325
162,-0.47998424002010714
163,1.4450815117910518
164,0.4606490160034355
165,-0.4598071821345565
166,0.3273389524058894
167,1.2943002463745967
168,-0.3411682901684364
169,1.2358303827271635
170,1.6865124555984135
171,-0.38112910123832894
172,0.39158602063863446
173,-0.7181022054914413
174,-0.3995495122103643
175,-0.8295197006466911
176,-0.008225122583263134
177,1.1393457291778992
178,-0.9961857164628918
179,1.40118117821189
180,1.4779229091457395
181,-0.9906186514637763
182,0.9987704009618145
183,-1.0200453057748187
184,-1.2984149531050533
185,0.7993034583672648
186,-1.6028780466404347
187,0.1908658151726953
188,0.46011477438786336
189,0.30689984068678555
190,-1.1533249759692208
191,0.49962335276243747
192,-1.1325980356759142
193,-1.2947788560690545
194,0.5680031179866095
195,-0.5674730110048795
196,-0.21887519707081343
197,0.9321936814333418
198,0.50728603648306
199,1.127999381721019
200,0.7442660802794863
201,1.467242471281188
202,-1.5537701898942737
203,0.5538381515210883
204,1.004535667380897
205,-0.12415234465326992
206,-0.11553425021086905
207,-0.21209794522393435
208,0.12515586640893345
209,-1.1749731407912443
210,-1.4945059501979485
211,-0.9150386136212892
212,0.4845634389052867
213,-0.1274000689054049
214,-0.6200683021793539
215,-0.8613499402957718
216,1.224939119749058
217,1.5306809280654996
218,-1.2440750019791238
219,-1.1517941068053068
220,0.00011951703489868847
221,0.10926766654843142
222,1.0829289529520925
223,1.3363854830707356
224,0.884885860729665
225,-0.4226282955711847
226,-0.8902507507455156
227,0.5479869274304795
228,-1.058527935330528
229,0.37453005613457185
230,-0.5153515670055933
231,1.2494983479932198
232,-1.4427218800909882
233,0.6729210469153389
234,1.4562547863682194
235,-1.5814486174481834
236,1.6126675830231474
237,0.6671291602303852
238,0.4167334144417794
239,0.41672103028180585
240,-0.9519049648582192
241,-1.2964440807554711
242,-0.7224753495889379
243,-1.7068245995986948
244,-1.2568172269698694
245,1.2091301690131053
246,-1.1758723015192618
247,0.1527944273934095
248,-1.1449666031758121
249,0.9007896173803873
250,-0.8642164208535651
251,0.2478467578888827
252,1.3676725941856986
253,0.15247916240113463
254,0.17222492712169993
255,-1.5484978269266048
256,0.18404396014105726
257,1.595640767357018
258,-1.514541653296044
259,1.637285107722025
260,-1.3580153729085367
261,0.719464791827328
262,-0.1505974742912823
263,0.3821580034863566
264,-0.4560895046059991
265,-1.1549279592759476
266,0.28013914191677997
267,1.6586455324595997
268,-0.39839949424646975
269,-1.3242019285460698
270,1.5982155850195399
271,1.216943355923949
272,1.2241618556292622
273,-1.070036183428188
274,0.5873901362970883
275,-0.8705320075955146
276,-0.778914314763278
277,0.18901432980772567
278,1.0139609984004692
279,-0.8448255551063855
280,0.4643072859614368
281,-0.5738113685211114
282,1.186491344870713
283,0.9265712385308921
284,1.5873851520628963
285,0.21357342006112884
286,1.3836866444441314
287,-0.9415156736820383
288,-0.3590110881193504
289,-0.9717728057139535
290,1.0713808853151552
291,-1.6603360112836485
292,1.2220888956363207
293,1.4297585568557403
294,0.24378941118869196
295,-0.9438590181241138
296,1.7252214987463208
297,1.1527586502046574
298,1.3921862941255976
299,-1.2102450643156188
300,-0.8119105807492051
301,-0.4182754256488262
302,1.3711339648379008
303,1.4315781724106225
304,0.40715695568997823
305,-0.8375283520462922
306,-0.7509858948327964
307,-0.7254103059717026
308,0.7794941192463609
309,0.18190639961913013
310,-0.44757119103481924
311,1.223377310941794
312,-0.3065660621793584
313,-1.5849336160058256
314,1.0947095422257183
315,0.4002804944555466
316,-1.4260245923611798
317,1.4471636625648698
318,-0.6398010020052896
319,1.1335671059318106
320,-1.1890007870239514
321,-0.6932913761969365
322,-1.2076308094647896
323,-0.42981105863784513
324,1.6869253236458572
325,-1.1830137612943559
326,0.4559353075750628
327,-0.6622668215075481
328,-1.492967313041392
329,-0.33365321596745834
330,0.011325276113307064
331,1.6986761854851984
332,0.8672394100309638
333,-0.7223870626935353
334,-0.8872443547494799
335,-0.6836700176165401
336,-1.4509803481202934
337,-0.08960671160179809
338,-1.6531826483236274
339,-0.8962039746420051
340,1.1886283996859726
341,-0.04947400453928879
342,-0.12913806823567217
343,-0.4826048878337617
344,-0.9043313765558862
345,-0.989690638694391
346,1.2517670239042145
347,0.9128321545190534
348,1.4039958372292831
349,0.14390616981876259
350,-0.3189315277046521
351,-0.5623369830037027
352,0.24460891317148664
353,-1.110938486495046
354,0.5551119678909071
355,0.5928571322912369
356,0.4637485961739222
357,-0.18057601330815118
358,0.2706769406027526
359,-0.1201520868137091
360,0.12618284156005105
361,0.8540541913941371
362,-1.5484530965367755
363,0.016226387856515083
364,-1.7235303655941363
365,-0.39716301354099875
366,1.6690160896367032
367,-0.9644539390805462
368,-1.0967455500152852
369,0.06513384396418676
370,-1.5574941953911607
371,-1.5490594782580136
372,0.9702772521038251
373,-1.0058375720117414
374,1.157156529385643
375,-1.5635069260596746
376,0.7266550791318631
377,1.1251741957669192
378,1.5179242836186246
379,-1.4244496834354545
380,-1.2877049755450245
381,1.1195680761903317
382,0.8303144839340212
383,-1.1178174081168668
384,-1.5783901098442037
385,-1.468542556558887
386,0.6990402549610313
387,-0.32049036814058296
388,-1.4086095522385378
389,0.19365041479969006
390,-0.9248357724149016
391,1.5140957166648763
392,-1.3330794449427688
393,-0.09316485936177592
394,1.5179190360828176
395,0.39879954248009386
396,0.4906375713139037
397,1.6847315465910766
398,-0.5579474370485072
399,-0.05330323942947784
400,-0.1254948442725997
401,0.4892513854340655
402,-1.2853405128663293
403,0.5528121362651446
404,-1.6800199382749827
405,1.372652183200888
406,0.44828148250880623
407,1.4254345503759596
408,0.3719759833682033
409,-1.4391931443431363
410,-0.973271684988408
411,-0.7856555923468226
412,0.33300970184341727
413,0.46157714568667746
414,1.4027262851991729
415,-0.675352712930794
416,1.3870528479826314
417,-1.717914051887997
418,0.49478726773405857
419,-0.9868585051697174
420,0.8670157948298295
421,-0.22133793920101694
422,-1.6261687859477134
423,1.2110535020673807
424,-0.6363929187309337
425,-0.5029940992895735
426,0.444911563524653
427,0.047772705986797004
428,1.5518642344358178
429,1.3506573630801424
430,1.5344911153794036
431,-0.6629838433657166
432,-1.084566103667711
433,-0.40950464594846014
434,-1.5697135168842455
435,1.725049737708302
436,1.6389582115223436
437,1.3955114652961382
438,-0.23496191569448976
439,-0.9251019781699682
440,0.3815101832466786
441,1.3228461004158583
442,0.0903135165557905
443,0.7245938791183096
444,0.6757121862014112
445,0.8231681755956215
446,1.2530482371816296
447,1.2042047645944094
448,-0.24855397903689036
449,-1.4201488109740468
450,-0.0591009668658493
451,1.133661399520838
452,-1.0784456592552631
453,0.5358991991741802
454,-0.44324544192421594
455,0.2156209558488759
456,-1.048849040462821
457,0.8882007055366712
458,1.331508574501988
459,-0.041743006635354137
460,-0.8525835805414935
461,0.5866221869497029
462,-0.20500739487018363
463,-0.7324908650911854
464,-0.8363802589171832
465,-0.3362751421456378
466,1.220279815901437
467,1.4428533477762358
468,1.3458586532774324
469,1.1892253969762383
470,-0.6567145754119748
471,-1.3807177336908798
472,1.3458854952003214
473,1.1095656563886405
474,-1.6442988609964122
475,-0.8273805190712624
476,0.3455597352673911
477,1.0275895378393303
478,-0.2043356210064605
479,-1.090692300052801
480,-0.5722625864266838
481,0.6111137259003449
482,-1.0899438685362655
483,-0.4766784367364683
484,0.5732168422765177
485,1.0960736888331768
486,-1.3785914602762566
487,-0.514017379921414
488,1.4150833188948988
489,0.6471630113456353
490,-0.7045944230895567
491,-0.9458659632682138
492,-0.9640353149056838
493,1.3899832471824145
494,-1.3702797953385235
495,-0.1557529313671706
496,1.417902113195845
497,-1.5133145505924068
498,-1.4091658848225783
499,-1.698104911892797
500,-1.623946624970563
501,-1.155064032770683
502,-0.9874936510788035
