neurons,layers,lr,train_loss,eval_loss,test_loss
100,1,0.001,0.11620969325304031,0.11576418578624725,0.11568447202444077
100,1,0.0005,0.40540096163749695,0.4031902253627777,0.4029370844364166
100,1,0.0003,0.7113510370254517,0.71424800157547,0.7124165892601013
100,2,0.001,0.42834800481796265,0.42829808592796326,0.42484697699546814
100,2,0.0005,0.4877188801765442,0.4830267131328583,0.4842926561832428
100,2,0.0003,0.8182212114334106,0.8201673030853271,0.8168175220489502
100,4,0.001,0.6840429902076721,0.6855347156524658,0.6818056106567383
100,4,0.0005,0.7974386215209961,0.7993566393852234,0.7976965308189392
100,4,0.0003,0.9262229800224304,0.9289846420288086,0.926601231098175
110,1,0.001,0.09819083660840988,0.09943784773349762,0.09663335233926773
110,1,0.0005,0.31233933568000793,0.30988335609436035,0.3089412748813629
110,1,0.0003,0.6214964389801025,0.622637152671814,0.6178978681564331
110,2,0.001,0.21510830521583557,0.21353480219841003,0.21290810406208038
110,2,0.0005,0.517845630645752,0.5163177847862244,0.5162507891654968
110,2,0.0003,0.7142184376716614,0.7168430685997009,0.7106137871742249
110,4,0.001,0.6754778623580933,0.6765694618225098,0.6737178564071655
110,4,0.0005,0.7302876710891724,0.7301948070526123,0.7276442050933838
110,4,0.0003,0.9171411395072937,0.9181807041168213,0.9162212610244751
120,1,0.001,0.09468118846416473,0.09468074142932892,0.09346305578947067
120,1,0.0005,0.28483694791793823,0.2828081548213959,0.2822205126285553
120,1,0.0003,0.5159800052642822,0.5134527087211609,0.5127038955688477
120,2,0.001,0.230251282453537,0.22870513796806335,0.22697515785694122
120,2,0.0005,0.4449068009853363,0.44536253809928894,0.4421105682849884
120,2,0.0003,0.7170988917350769,0.7168006300926208,0.715045154094696
120,4,0.001,0.6721133589744568,0.6741710901260376,0.6696836352348328
120,4,0.0005,0.6645092368125916,0.6619373559951782,0.663263738155365
120,4,0.0003,0.8193787932395935,0.8193574547767639,0.8178333044052124
130,1,0.001,0.08041523396968842,0.08116088807582855,0.07894838601350784
130,1,0.0005,0.21283622086048126,0.21233783662319183,0.2108246088027954
130,1,0.0003,0.541980504989624,0.5421553254127502,0.5375534892082214
130,2,0.001,0.19019263982772827,0.18935687839984894,0.18959425389766693
130,2,0.0005,0.386721134185791,0.38843995332717896,0.38522598147392273
130,2,0.0003,0.6030322909355164,0.6046184301376343,0.5997263193130493
130,4,0.001,0.6790450811386108,0.6810899376869202,0.6772682070732117
130,4,0.0005,0.6949682831764221,0.6967066526412964,0.692452073097229
130,4,0.0003,0.7474926710128784,0.7479534149169922,0.7424010038375854
140,1,0.001,0.05575151741504669,0.055571239441633224,0.05462892726063728
140,1,0.0005,0.20783500373363495,0.20755049586296082,0.20654605329036713
140,1,0.0003,0.5012438893318176,0.501240074634552,0.49837633967399597
140,2,0.001,0.1720375269651413,0.17110231518745422,0.16926056146621704
140,2,0.0005,0.3355117738246918,0.33599862456321716,0.3359241485595703
140,2,0.0003,0.6511287093162537,0.6485540270805359,0.648923397064209
