neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,jou_score,jou_mse,jou_mape,time
100,1,0.001,100,0.9959278413943655,0.003969293006658353,1.0268645120168975,0.9925894594209576,0.007231589719054308,0.27272954493782947,2026-03-21 18:10:07.461592
100,1,0.0005,100,0.9956382225438073,0.004251595880747459,1.5159662657787336,0.99140837654819,0.008384151623136157,0.2839461483434034,2026-03-21 18:10:42.527683
100,1,0.0003,100,0.9947397145488828,0.005127406929891251,2.5791187090906798,0.9903204890186724,0.009445768679278564,0.30287535448650593,2026-03-21 18:11:12.578106
100,2,0.001,100,0.9967693565444036,0.0031490351229351544,2.453554783550515,0.9922499849046048,0.007562866553200647,0.28132943989567927,2026-03-21 18:11:44.735364
100,2,0.0005,100,0.9966876278558908,0.003228699287122753,0.44922593541504274,0.9940618779749989,0.0057947273520006955,0.249142753425843,2026-03-21 18:12:17.745840
100,2,0.0003,100,0.9964696444813831,0.0034411762478197016,0.9870013595452246,0.9934185885821413,0.0064224824948470515,0.2349589310783639,2026-03-21 18:12:50.137227
100,4,0.001,100,0.9976353841925543,0.002304883944093256,0.4162990608179883,0.99564429301284,0.004250524712952827,0.1866782426056807,2026-03-21 18:13:27.866603
100,4,0.0005,100,0.9968979851468475,0.003023655769726695,1.2320098264352464,0.9946497263697592,0.005221074409604817,0.23197712122110736,2026-03-21 18:14:07.568868
100,4,0.0003,100,0.9964752340815246,0.003435727844920831,0.5476983426950753,0.9931457202424175,0.006688761568438841,0.2547844038678459,2026-03-21 18:14:47.915770
110,1,0.001,100,0.9961575671492929,0.003745370286354475,0.7392523245171578,0.992390972018039,0.007425284018005618,0.2760537989899961,2026-03-21 18:15:18.350432
110,1,0.0005,100,0.9954916237073027,0.00439449152722764,0.5658027362058858,0.991179769540669,0.008607238193901119,0.28326458494140533,2026-03-21 18:15:49.694725
110,1,0.0003,100,0.9950719784947154,0.00480353620571727,1.782867444528137,0.9903180499475912,0.00944814885130072,0.29759687605716556,2026-03-21 18:16:20.865503
110,2,0.001,100,0.9972735386209347,0.002657589041319255,0.30630292271682513,0.9954047267392603,0.0044843059037542885,0.21872119889383762,2026-03-21 18:16:53.040151
110,2,0.0005,100,0.9970950777151854,0.0028315418986987625,0.7974374516725055,0.9942746580208028,0.005587085551076251,0.19473774769167096,2026-03-21 18:17:32.408656
110,2,0.0003,100,0.9960246214104227,0.003874957722077762,0.9857890709330919,0.9929101307882112,0.006918661972705516,0.30474173560313966,2026-03-21 18:18:09.836874
110,4,0.001,100,0.9978491374018114,0.0020965302916886213,0.4502151295947247,0.9958557431073428,0.004044180747463439,0.2457404168371314,2026-03-21 18:18:46.953199
110,4,0.0005,100,0.9966229990117811,0.003291695561039533,1.5210098369194132,0.9930826007765008,0.0067503568159011755,0.30680630851181484,2026-03-21 18:19:24.783259
110,4,0.0003,100,0.9956395015632604,0.004250349170228008,0.5731377496687776,0.993695588155221,0.006152171949550188,0.3050980460845654,2026-03-21 18:20:01.685219
120,1,0.001,100,0.9963316002941737,0.0035757333414805567,1.1348047694293333,0.9931125391243268,0.00672114142384775,0.23408954919295896,2026-03-21 18:20:31.927424
120,1,0.0005,100,0.9957294220129972,0.004162700174483617,0.7240500365028891,0.9922080996841706,0.007603740322967041,0.2924601158457059,2026-03-21 18:21:04.582123
