neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,jou_score,jou_mse,jou_mape,time
10,1,0.001,100,0.9884069520312241,0.011776591532986009,0.4724917516371566,0.9858131896861763,0.014426146727408011,0.7839793680079656,2026-03-20 01:47:24.008601
10,1,0.0005,100,0.988003862516604,0.012186062845249677,0.5388933137838938,0.9838494446114106,0.01642302086311071,1.0524322833385014,2026-03-20 01:47:59.739814
10,1,0.0003,100,0.9834445342085777,0.016817575394237616,0.6190315183919497,0.9793899916006541,0.020957706393829843,0.8706956964697076,2026-03-20 01:48:28.887868
10,2,0.001,100,0.9951700814714526,0.004906386810569622,0.5396628365100542,0.993294451116619,0.006818673820231634,0.5245854524993943,2026-03-20 01:49:08.112769
10,2,0.0005,100,0.9924753423012505,0.007643789655868109,0.682168527453937,0.9891561609204315,0.011026778408239157,0.5215579019131964,2026-03-20 01:49:51.791367
10,2,0.0003,100,0.9906917543870104,0.0094556157076318,0.6640451949927275,0.9890562211977943,0.01112840414868166,0.7696255253660023,2026-03-20 01:50:34.803538
10,4,0.001,100,0.9950139974945805,0.00506494194166349,0.289031974051531,0.9938355403044912,0.006268456269972776,0.4082326884847009,2026-03-20 01:51:24.787250
10,4,0.0005,100,0.9929556825292701,0.007155844580726098,0.4093989485464068,0.9917745032380977,0.008364263746967653,0.5672237895944087,2026-03-20 01:52:14.183019
10,4,0.0003,100,0.9918445148727258,0.00828460447640074,0.5368786992036506,0.9910736712625386,0.009076919001180923,0.5271779932976424,2026-03-20 01:53:05.854617
20,1,0.001,100,0.9941610797155433,0.005931363293666493,0.3306643622359339,0.991866055843782,0.008271166617051713,0.5759116164251981,2026-03-20 01:53:48.015357
20,1,0.0005,100,0.993221183819571,0.0068861398183739835,0.4260138218741301,0.9912430182594326,0.008904715061676767,0.3752361651581898,2026-03-20 01:54:30.276292
20,1,0.0003,100,0.992249612556092,0.007873093201642702,0.3668950148941475,0.9893612456189488,0.010818233859682416,0.6677005078305562,2026-03-20 01:55:17.179262
20,2,0.001,100,0.9973396557653149,0.0027024633619564644,0.2990643418016965,0.9967393265843983,0.0033156821077528244,0.29667337220226964,2026-03-20 01:56:02.174942
20,2,0.0005,100,0.9969876829261483,0.0030600087088518578,0.2610868482162745,0.9953935214150579,0.0046841914773671205,0.3491464415348052,2026-03-20 01:56:45.920486
20,2,0.0003,100,0.995902278823908,0.004162597156233175,0.300344909004666,0.9935999719861275,0.006507998707622182,0.47893600524028584,2026-03-20 01:57:30.465372
20,4,0.001,100,0.9978714071805757,0.0021622931468861938,0.21506855866008806,0.9974476659462564,0.002595392815028059,0.42104078263835654,2026-03-20 01:58:21.198149
20,4,0.0005,100,0.9969272992179757,0.003121348424542615,0.29173464566190416,0.9961177701807401,0.0039477243836543606,0.2845441802073446,2026-03-20 01:59:12.594117
20,4,0.0003,100,0.9967898910133295,0.0032609321046721453,0.298851936629171,0.9962763477729505,0.0037864715324283996,0.3776445019916899,2026-03-20 02:00:00.817756
30,1,0.001,100,0.9958754504710632,0.004189850261180958,0.3156399126548363,0.9942155706026059,0.005882014728837832,0.48675910259366945,2026-03-20 02:00:43.117433
30,1,0.0005,100,0.9953941569879815,0.004678763683518766,0.3000159970278794,0.9934217631181277,0.006689214021073231,0.519464820258409,2026-03-20 02:01:24.986558
30,1,0.0003,100,0.9944755465823539,0.00561191772153912,0.3899014406194102,0.9912742643683794,0.008872941820027937,0.5213559564926779,2026-03-20 02:02:08.342474
30,2,0.001,100,0.9982386287384969,0.0017892576603262865,0.18862781133476766,0.9978020254125993,0.002235055181506068,0.30961028295312587,2026-03-20 02:02:53.737062
30,2,0.0005,100,0.997978108962015,0.002053902040488831,0.21589825978570576,0.9972612936995552,0.0027849092262124775,0.24790167107569142,2026-03-20 02:03:38.869199
30,2,0.0003,100,0.9975993859487454,0.002438621075847881,0.3355975837097326,0.9964445118408977,0.0036154704782929707,0.3219001947563495,2026-03-20 02:04:24.212469
30,4,0.001,100,0.9983591117194454,0.001666867167582047,0.19398910796258254,0.9980426582721571,0.0019903627620950445,0.270165802572363,2026-03-20 02:05:16.532333
30,4,0.0005,100,0.9982830783988422,0.0017441042636460711,0.1843884930873749,0.9979266630275154,0.0021083148867704457,0.2661468644449461,2026-03-20 02:06:04.654882
30,4,0.0003,100,0.9978269269783757,0.0022074775689661344,0.32236289914620103,0.9970709821709252,0.0029784313763788284,0.2816686647442293,2026-03-20 02:06:53.941989
40,1,0.001,100,0.9969881588216769,0.003059525278845438,0.30286257002149763,0.9945827600981234,0.005508630619096378,0.3114254097104483,2026-03-20 02:07:37.423779
40,1,0.0005,100,0.9963339216461136,0.003724120474436431,0.34611402951814035,0.993702788665494,0.006403447475191871,0.4956291463769372,2026-03-20 02:08:19.185821
40,1,0.0003,100,0.9955423569012932,0.004528217438131264,0.27482439400581266,0.9925302750728981,0.007595741779020348,0.5222136706628083,2026-03-20 02:09:02.110422
40,2,0.001,100,0.9988717867578779,0.001146075350534409,0.18034228095825922,0.9983413355637812,0.0016866466809039727,0.27002207947051504,2026-03-20 02:09:47.345865
40,2,0.0005,100,0.9981030769653834,0.0019269555175101165,0.24335622902394746,0.9974332442760514,0.002610057783814541,0.21277902657989936,2026-03-20 02:10:32.960564
40,2,0.0003,100,0.99792289045028,0.0021099947832700556,0.2968838366798026,0.9973019276227013,0.0027435897946806675,0.37471098560635857,2026-03-20 02:11:18.578294
