,neurons,layers,learn_rate,epochs,hys_score,hys_mse,hys_mape,jou_score,jou_mse,jou_mape,time
0,10,1,0.1,1000,0.983875036239624,0.015752291306853294,0.9468361735343933,0.9837266206741333,0.01540850754827261,0.6907834410667419,2025-11-10 01:41:46.348426
0,10,1,0.05,1000,0.9704484343528748,0.028369441628456116,0.7992124557495117,0.9490049481391907,0.04659023508429527,2.093895435333252,2025-11-10 01:41:49.545547
0,10,1,0.01,1000,0.9116361737251282,0.07938609272241592,3.9056529998779297,0.9160366058349609,0.07358396053314209,1.8678127527236938,2025-11-10 01:41:52.821043
0,10,2,0.1,1000,0.9775433540344238,0.02183397300541401,0.9110089540481567,0.9776357412338257,0.02124970220029354,0.7192338109016418,2025-11-10 01:41:57.659050
0,10,2,0.05,1000,0.9818931818008423,0.017669593915343285,0.7539870738983154,0.9813741445541382,0.017521599307656288,0.5657389163970947,2025-11-10 01:42:02.132534
0,10,2,0.01,1000,0.874570906162262,0.10827478021383286,1.8020305633544922,0.8721758127212524,0.10968233644962311,1.4711228609085083,2025-11-10 01:42:06.592430
0,20,1,0.1,1000,0.988822340965271,0.010967311449348927,0.9477681517601013,0.9864859580993652,0.012884440831840038,0.6741681694984436,2025-11-10 01:42:11.324667
0,20,1,0.05,1000,0.9799982309341431,0.019436251372098923,1.2096413373947144,0.9780744314193726,0.02064869925379753,1.1275732517242432,2025-11-10 01:42:15.831113
0,20,1,0.01,1000,0.9035775065422058,0.08701058477163315,1.4053391218185425,0.8909574151039124,0.09425725787878036,2.628542900085449,2025-11-10 01:42:20.861932
0,20,2,0.1,1000,0.9867421388626099,0.012657125480473042,0.5560362339019775,0.9835392832756042,0.014919759705662727,0.6891180276870728,2025-11-10 01:42:28.118450
0,20,2,0.05,1000,0.9740564823150635,0.02507792040705681,1.1297847032546997,0.9682086706161499,0.029557712376117706,0.9126688241958618,2025-11-10 01:42:35.179271
0,20,2,0.01,1000,0.905713677406311,0.08531451970338821,1.457883358001709,0.9035851359367371,0.0842319056391716,2.067847728729248,2025-11-10 01:42:42.228638
0,30,1,0.1,1000,0.9891629815101624,0.01067056693136692,0.4315014183521271,0.9866031408309937,0.012755146250128746,1.913569688796997,2025-11-10 01:42:49.092458
0,30,1,0.05,1000,0.9783746600151062,0.021033065393567085,1.1666831970214844,0.9652904868125916,0.03229822963476181,0.6195027828216553,2025-11-10 01:42:56.036246
0,30,1,0.01,1000,0.9166585206985474,0.07591284811496735,1.2736413478851318,0.9095561504364014,0.07922449707984924,0.99457848072052,2025-11-10 01:43:02.509223
0,30,2,0.1,1000,0.9837837219238281,0.015564346686005592,17.04636001586914,0.9847078323364258,0.013993117958307266,0.5819222927093506,2025-11-10 01:43:12.363100
0,30,2,0.05,1000,0.9804831743240356,0.018996793776750565,1.0777623653411865,0.976352334022522,0.022197360172867775,0.526797890663147,2025-11-10 01:43:22.102427
0,30,2,0.01,1000,0.9144214987754822,0.07730159908533096,1.554413914680481,0.901091456413269,0.08578042685985565,1.636343002319336,2025-11-10 01:43:32.023091
0,40,1,0.1,1000,0.9893619418144226,0.010463793762028217,0.5319470167160034,0.9864965081214905,0.012858996167778969,0.4734306335449219,2025-11-10 01:43:40.464064
0,40,1,0.05,1000,0.980294942855835,0.019203342497348785,0.7938910722732544,0.9770846366882324,0.021570419892668724,0.5403664708137512,2025-11-10 01:43:48.915542
0,40,1,0.01,1000,0.9261184930801392,0.06797636300325394,1.4542872905731201,0.9045724868774414,0.08345270901918411,3.050034284591675,2025-11-10 01:43:57.456222
0,40,2,0.1,1000,0.9879906177520752,0.011981635354459286,0.5899126529693604,0.9867047667503357,0.013005230575799942,0.39685139060020447,2025-11-10 01:44:09.591943
0,40,2,0.05,1000,0.9809845685958862,0.018526602536439896,1.0356194972991943,0.978101909160614,0.020629998296499252,0.8901169300079346,2025-11-10 01:44:21.626283
0,40,2,0.01,1000,0.9156256318092346,0.07625661045312881,1.191778540611267,0.9011643528938293,0.08593868464231491,1.5373563766479492,2025-11-10 01:44:33.712809
0,50,1,0.1,1000,0.9900868535041809,0.009757723659276962,0.42303627729415894,0.986574649810791,0.012792196124792099,0.4383412301540375,2025-11-10 01:44:43.445360
0,50,1,0.05,1000,0.9820989370346069,0.017476605251431465,0.911051869392395,0.9780800938606262,0.020668357610702515,0.6369013786315918,2025-11-10 01:44:52.920839
0,50,1,0.01,1000,0.9407491087913513,0.05474605783820152,5.682181358337402,0.9205114841461182,0.06982231140136719,1.123199701309204,2025-11-10 01:45:02.462474
0,50,2,0.1,1000,0.9885004162788391,0.011359100230038166,1.4952542781829834,0.9877663254737854,0.011872025206685066,0.4228765368461609,2025-11-10 01:45:17.286309
0,50,2,0.05,1000,0.9817208051681519,0.017825933173298836,0.7568323612213135,0.9769589304924011,0.021657759323716164,0.5338100790977478,2025-11-10 01:45:31.871847
0,50,2,0.01,1000,0.9203524589538574,0.07284301519393921,2.4241867065429688,0.8989282846450806,0.08699091523885727,1.315537691116333,2025-11-10 01:45:46.269635
0,60,1,0.1,1000,0.9903148412704468,0.009536349214613438,1.2264785766601562,0.9878131747245789,0.011619053781032562,0.4406340420246124,2025-11-10 01:45:56.098140
0,60,1,0.05,1000,0.9831532835960388,0.01642998680472374,0.639308512210846,0.9761931896209717,0.022444160655140877,2.6185848712921143,2025-11-10 01:46:05.929811
0,60,1,0.01,1000,0.9307584762573242,0.06385829299688339,1.3335775136947632,0.9131513833999634,0.07607085257768631,1.3082077503204346,2025-11-10 01:46:15.806603
0,60,2,0.1,1000,0.9869028925895691,0.012680809944868088,0.6276631355285645,0.986578106880188,0.012481139972805977,0.5324559807777405,2025-11-10 01:46:30.705377
0,60,2,0.05,1000,0.9790876507759094,0.020350581035017967,2.1420650482177734,0.9774868488311768,0.021184150129556656,0.6467487812042236,2025-11-10 01:46:45.309411
0,60,2,0.01,1000,0.9311235547065735,0.0633268877863884,1.552947759628296,0.9243867993354797,0.06678345054388046,1.1035140752792358,2025-11-10 01:46:59.599054
0,70,1,0.1,1000,0.9898602366447449,0.009982755407691002,0.5118517279624939,0.9871369004249573,0.012275820598006248,0.4543323218822479,2025-11-10 01:47:13.323548
0,70,1,0.05,1000,0.9809274673461914,0.018565740436315536,0.6674532294273376,0.9770885109901428,0.021556207910180092,0.8607192039489746,2025-11-10 01:47:26.244147
0,70,1,0.01,1000,0.9257833957672119,0.06822918355464935,1.9296334981918335,0.9224382042884827,0.06883933395147324,1.4096781015396118,2025-11-10 01:47:39.232279
0,70,2,0.1,1000,0.9894117712974548,0.010369829833507538,0.6311166286468506,0.9884335994720459,0.010863603092730045,0.47533103823661804,2025-11-10 01:47:58.854260
0,70,2,0.05,1000,0.9850543141365051,0.014618816785514355,3.7473292350769043,0.9783757925033569,0.02038491517305374,0.6551697850227356,2025-11-10 01:48:18.441356
0,70,2,0.01,1000,0.9295441508293152,0.0646437555551529,1.2557191848754883,0.9195126295089722,0.07048235833644867,2.342952013015747,2025-11-10 01:48:38.650512
0,80,1,0.1,1000,0.9899179935455322,0.009925933554768562,0.42668667435646057,0.9867144227027893,0.012663519009947777,0.5701809525489807,2025-11-10 01:48:48.605094
0,80,1,0.05,1000,0.9829046726226807,0.01666918210685253,0.6818918585777283,0.9771867394447327,0.021463938057422638,0.5315850377082825,2025-11-10 01:48:58.372535
0,80,1,0.01,1000,0.9456923604011536,0.05055776610970497,4.283175468444824,0.9316291809082031,0.06101701781153679,1.0093035697937012,2025-11-10 01:49:08.050656
0,80,2,0.1,1000,0.9904342293739319,0.009358699433505535,0.5116958022117615,0.9885629415512085,0.010713150724768639,0.5442666411399841,2025-11-10 01:49:22.642792
0,80,2,0.05,1000,0.9858962297439575,0.01380302757024765,0.5614609122276306,0.9798770546913147,0.019024739041924477,0.7985547184944153,2025-11-10 01:49:37.080259
